Date commandé,No de commande,Total payé,SKU,Nom du produit,Categorie,Quantité,Prix du produit,Code de coupon,Réduction,coupons,0,bienvenue20,soleil10
1,1,1,1,1,1,1,1,0,0,1,1,0,0
2,2,2,2,2,2,2,2,0,0,2,2,0,0
2,2,2,2,2,2,2,2,0,0,2,2,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
11,11,11,11,10,10,11,11,0,0,11,11,1,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
5,5,5,5,5,5,5,5,0,0,5,5,0,0
11,11,11,11,11,11,11,11,0,0,11,11,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
3,3,3,3,3,3,3,3,0,0,3,3,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,1,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
5,5,5,5,5,5,5,5,0,0,5,5,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
8,8,8,8,8,8,8,8,0,0,8,8,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,1,0
3,3,3,3,3,3,3,3,0,0,3,3,0,0
2,2,2,2,2,2,2,2,0,0,2,2,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
3,3,3,3,3,3,3,3,0,0,3,3,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
3,3,3,3,3,3,3,3,0,0,3,3,0,0
1,1,1,1,1,1,1,1,0,0,1,1,0,0
4,4,4,4,4,4,4,4,0,0,4,4,0,0
4,4,4,4,4,4,4,4,0,0,4,4,0,0
2,2,2,2,2,2,2,2,0,0,2,2,0,0
3,3,3,3,3,3,3,3,0,0,3,3,0,0
